('DDI_AUX_DATA_2_USBC3', '0x6451C', '')
('DDI_AUX_DATA_3_USBC3', '0x64520', '')
('DDI_AUX_DATA_4_USBC3', '0x64524', '')
('DDI_AUX_DATA_0_USBC4', '0x64614', '')
('DDI_AUX_DATA_1_USBC4', '0x64618', '')
('DDI_AUX_DATA_2_USBC4', '0x6461C', '')
('DDI_AUX_DATA_3_USBC4', '0x64620', '')
('DDI_AUX_DATA_4_USBC4', '0x64624', '')
('DDI_AUX_DATA_0_D', '0x64714', '')
('DDI_AUX_DATA_1_D', '0x64718', '')
('DDI_AUX_DATA_2_D', '0x6471C', '')
('DDI_AUX_DATA_3_D', '0x64720', '')
('DDI_AUX_DATA_4_D', '0x64724', '')
('DDI_AUX_DATA_0_E', '0x64814', '')
('DDI_AUX_DATA_1_E', '0x64818', '')
('DDI_AUX_DATA_2_E', '0x6481C', '')
('DDI_AUX_DATA_3_E', '0x64820', '')
('DDI_AUX_DATA_4_E', '0x64824', '')
('PHY_MISC_A', '0x64C00', '')
('PHY_MISC_B', '0x64C04', '')
('PHY_MISC_C', '0x64C08', '')
('PORT_CL_DW5_B', '0x6C014', '')
('PORT_CL_DW5_C', '0x160014', '')
('PORT_CL_DW5_A', '0x162014', '')
('PORT_CL_DW10_B', '0x6C028', '')
('PORT_CL_DW10_C', '0x160028', '')
('PORT_CL_DW10_A', '0x162028', '')
('PORT_CL_DW12_B', '0x6C030', '')
('PORT_CL_DW12_C', '0x160030', '')
('PORT_CL_DW12_A', '0x162030', '')
('PORT_CL_DW15_B', '0x6C03C', '')
('PORT_CL_DW15_C', '0x16003C', '')
('PORT_CL_DW15_A', '0x16203C', '')
('PORT_CL_DW16_B', '0x6C040', '')
('PORT_CL_DW16_C', '0x160040', '')
('PORT_CL_DW16_A', '0x162040', '')
('PORT_COMP_DW0_B', '0x6C100', '')
('PORT_COMP_DW0_C', '0x160100', '')
('PORT_COMP_DW0_A', '0x162100', '')
('PORT_COMP_DW1_B', '0x6C104', '')
('PORT_COMP_DW1_C', '0x160104', '')
('PORT_COMP_DW1_A', '0x162104', '')
('PORT_COMP_DW3_B', '0x6C10C', '')
('PORT_COMP_DW3_C', '0x16010C', '')
('PORT_COMP_DW3_A', '0x16210C', '')
('PORT_COMP_DW8_B', '0x6C120', '')
('PORT_COMP_DW8_C', '0x160120', '')
('PORT_COMP_DW8_A', '0x162120', '')
('PORT_COMP_DW9_B', '0x6C124', '')
('PORT_COMP_DW9_C', '0x160124', '')
('PORT_COMP_DW9_A', '0x162124', '')
('PORT_COMP_DW10_B', '0x6C128', '')
('PORT_COMP_DW10_C', '0x160128', '')
('PORT_COMP_DW10_A', '0x162128', '')
('DPHY_CLK_TIMING_PARAM_1', '0x6C180', '')
('DPHY_CLK_TIMING_PARAM_0', '0x162180', '')
('DPHY_DATA_TIMING_PARAM_1', '0x6C184', '')
('DPHY_DATA_TIMING_PARAM_0', '0x162184', '')
('DPHY_TA_TIMING_PARAM_1', '0x6C188', '')
('DPHY_TA_TIMING_PARAM_0', '0x162188', '')
('DPHY_ESC_CLK_DIV_1', '0x6C190', '')
('DPHY_ESC_CLK_DIV_0', '0x162190', '')
('DPHY_CHKN_REG0_1', '0x6C194', '')
('DPHY_CHKN_REG0_0', '0x162194', '')
('PORT_PCS_DW1_AUX_B', '0x6C304', '')
('PORT_PCS_DW1_GRP_B', '0x6C604', '')
('PORT_PCS_DW1_LN0_B', '0x6C804', '')
('PORT_PCS_DW1_LN1_B', '0x6C904', '')
('PORT_PCS_DW1_LN2_B', '0x6CA04', '')
('PORT_PCS_DW1_LN3_B', '0x6CB04', '')
('PORT_PCS_DW1_AUX_C', '0x160304', '')
('PORT_PCS_DW1_GRP_C', '0x160604', '')
('PORT_PCS_DW1_LN0_C', '0x160804', '')
('PORT_PCS_DW1_LN1_C', '0x160904', '')
('PORT_PCS_DW1_LN2_C', '0x160A04', '')
('PORT_PCS_DW1_LN3_C', '0x160B04', '')
('PORT_PCS_DW1_AUX_A', '0x162304', '')
('PORT_PCS_DW1_GRP_A', '0x162604', '')
('PORT_PCS_DW1_LN0_A', '0x162804', '')
('PORT_PCS_DW1_LN1_A', '0x162904', '')
('PORT_PCS_DW1_LN2_A', '0x162A04', '')
('PORT_PCS_DW1_LN3_A', '0x162B04', '')
('PORT_PCS_DW9_AUX_B', '0x6C324', '')
('PORT_PCS_DW9_GRP_B', '0x6C624', '')
('PORT_PCS_DW9_LN0_B', '0x6C824', '')
('PORT_PCS_DW9_LN1_B', '0x6C924', '')
('PORT_PCS_DW9_LN2_B', '0x6CA24', '')
('PORT_PCS_DW9_LN3_B', '0x6CB24', '')
('PORT_PCS_DW9_AUX_C', '0x160324', '')
('PORT_PCS_DW9_GRP_C', '0x160624', '')
('PORT_PCS_DW9_LN0_C', '0x160824', '')
('PORT_PCS_DW9_LN1_C', '0x160924', '')
('PORT_PCS_DW9_LN2_C', '0x160A24', '')
('PORT_PCS_DW9_LN3_C', '0x160B24', '')
('PORT_PCS_DW9_AUX_A', '0x162324', '')
('PORT_PCS_DW9_GRP_A', '0x162624', '')
('PORT_PCS_DW9_LN0_A', '0x162824', '')
('PORT_PCS_DW9_LN1_A', '0x162924', '')
('PORT_PCS_DW9_LN2_A', '0x162A24', '')
('PORT_PCS_DW9_LN3_A', '0x162B24', '')
('DPCLKA_CFGCR0', '0x164280', '')
('DPLL0_CFGCR0', '0x164284', '')
('DPLL1_CFGCR0', '0x16428C', '')
('DPLL4_CFGCR0', '0x164294', '')
('TBTPLL_CFGCR0', '0x16429C', '')
('DPLL0_CFGCR1', '0x164288', '')
('DPLL1_CFGCR1', '0x164290', '')
('DPLL4_CFGCR1', '0x164298', '')
('TBTPLL_CFGCR1', '0x1642A0', '')
('DPCLKA_CFGCR1', '0x1642BC', '')
('DPLL0_DIV0', '0x164B00', '')
('DPLL1_DIV0', '0x164C00', '')
('DPLL4_DIV0', '0x164E00', '')
