('GAMMA_MODE_C', '0x4B480', '')
('GAMMA_MODE_D', '0x4BC80', '')
('PRE_CSC_GAMC_INDEX_A', '0x4A484', '')
('PRE_CSC_GAMC_INDEX_B', '0x4AC84', '')
('PRE_CSC_GAMC_INDEX_C', '0x4B484', '')
('PRE_CSC_GAMC_INDEX_D', '0x4BC84', '')
('PRE_CSC_GAMC_DATA_A', '0x4A488', '')
('PRE_CSC_GAMC_DATA_B', '0x4AC88', '')
('PRE_CSC_GAMC_DATA_C', '0x4B488', '')
('PRE_CSC_GAMC_DATA_D', '0x4BC88', '')
('PRE_CSC_CC2_GAMC_INDEX_A', '0x4A500', '')
('PRE_CSC_CC2_GAMC_INDEX_B', '0x4AD00', '')
('PRE_CSC_CC2_GAMC_DATA_A', '0x4A504', '')
('PRE_CSC_CC2_GAMC_DATA_B', '0x4AD04', '')
('POST_CSC_CC2_INDEX_A', '0x4A508', '')
('POST_CSC_CC2_INDEX_B', '0x4AD08', '')
('POST_CSC_CC2_DATA_A', '0x4A50C', '')
('POST_CSC_CC2_DATA_B', '0x4AD0C', '')
('CSC_CC2_COEFF_A', '0x4A518', '')
('CSC_CC2_COEFF_B', '0x4AD18', '')
('CSC_CC2_PREOFF_A', '0x4A530', '')
('CSC_CC2_PREOFF_B', '0x4AD30', '')
('CSC_CC2_POSTOFF_A', '0x4A53C', '')
('CSC_CC2_POSTOFF_B', '0x4AD3C', '')
('MSG_FBC_REND_STATE_A', '0x50380', '')
('MSG_FBC_REND_STATE_B', '0x50384', '')
('DFSM', '0x51000', '')
('DSSM', '0x51004', '')
('DFSM2', '0x51008', '')
('DFSM3', '0x5100C', '')
('DFSM4', '0x51010', '')
('DFSDONE', '0x51080', '')
('DFSERROR', '0x51084', '')
('TRANS_HTOTAL_A', '0x60000', '')
('TRANS_HTOTAL_B', '0x61000', '')
('TRANS_HTOTAL_C', '0x62000', '')
('TRANS_HTOTAL_D', '0x63000', '')
('TRANS_HTOTAL_WD0', '0x6E000', '')
('TRANS_HTOTAL_WD1', '0x6E800', '')
('TRANS_HTOTAL_CMTG', '0x6F000', '')
('TRANS_HBLANK_A', '0x60004', '')
('TRANS_HBLANK_B', '0x61004', '')
('TRANS_HBLANK_C', '0x62004', '')
('TRANS_HBLANK_D', '0x63004', '')
('TRANS_HBLANK_CMTG', '0x6F004', '')
('TRANS_HSYNC_A', '0x60008', '')
('TRANS_HSYNC_B', '0x61008', '')
('TRANS_HSYNC_C', '0x62008', '')
('TRANS_HSYNC_D', '0x63008', '')
('TRANS_VTOTAL_A', '0x6000C', '')
('TRANS_VTOTAL_B', '0x6100C', '')
('TRANS_VTOTAL_C', '0x6200C', '')
('TRANS_VTOTAL_D', '0x6300C', '')
('TRANS_VTOTAL_WD0', '0x6E00C', '')
('TRANS_VTOTAL_WD1', '0x6E80C', '')
('TRANS_VTOTAL_CMTG', '0x6F00C', '')
('TRANS_VBLANK_A', '0x60010', '')
('TRANS_VBLANK_B', '0x61010', '')
('TRANS_VBLANK_C', '0x62010', '')
('TRANS_VBLANK_D', '0x63010', '')
('TRANS_VBLANK_CMTG', '0x6F010', '')
('TRANS_VSYNC_A', '0x60014', '')
('TRANS_VSYNC_B', '0x61014', '')
('TRANS_VSYNC_C', '0x62014', '')
('TRANS_VSYNC_D', '0x63014', '')
('TRANS_VSYNC_CMTG', '0x6F014', '')
('TRANS_EXITLINE_A', '0x60018', '')
('TRANS_EXITLINE_B', '0x61018', '')
('TRANS_EXITLINE_C', '0x62018', '')
('TRANS_EXITLINE_D', '0x63018', '')

('PIPE_SRCSZ_A', '0x6001C', '')
('PIPE_SRCSZ_B', '0x6101C', '')
('PIPE_SRCSZ_C', '0x6201C', '')
('PIPE_SRCSZ_D', '0x6301C', '')
('PIPE_SEAM_EXCESS_A', '0x60020', '')
('PIPE_SEAM_EXCESS_B', '0x61020', '')
('PIPE_SEAM_EXCESS_C', '0x62020', '')
('PIPE_SEAM_EXCESS_D', '0x63020', '')
('TRANS_VSYNCSHIFT_A', '0x60028', '')
('TRANS_VSYNCSHIFT_B', '0x61028', '')
('TRANS_VSYNCSHIFT_C', '0x62028', '')
('TRANS_VSYNCSHIFT_D', '0x63028', '')
('TRANS_DATAM1_A', '0x60030', '')
('TRANS_DATAM1_B', '0x61030', '')
('TRANS_DATAM1_C', '0x62030', '')
('TRANS_DATAM1_D', '0x63030', '')
('TRANS_DATAN1_A', '0x60034', '')
('TRANS_DATAN1_B', '0x61034', '')
('TRANS_DATAN1_C', '0x62034', '')
('TRANS_DATAN1_D', '0x63034', '')
('TRANS_LINKM1_A', '0x60040', '')
('TRANS_LINKM1_B', '0x61040', '')
('TRANS_LINKM1_C', '0x62040', '')
('TRANS_LINKM1_D', '0x63040', '')
('TRANS_LINKM1_CMTG', '0x6F040', '')
('TRANS_LINKN1_A', '0x60044', '')
('TRANS_LINKN1_B', '0x61044', '')
('TRANS_LINKN1_C', '0x62044', '')
('TRANS_LINKN1_D', '0x63044', '')
('TRANS_LINKN1_CMTG', '0x6F044', '')
('TRANS_VRR_VSYNC_A', '0x60078', '')
('TRANS_VRR_VSYNC_B', '0x61078', '')
('TRANS_VRR_VSYNC_C', '0x62078', '')
('TRANS_VRR_VSYNC_D', '0x63078', '')
('TRANS_SET_CONTEXT_LATENCY_A', '0x6007C', '')
('TRANS_SET_CONTEXT_LATENCY_B', '0x6107C', '')
('TRANS_SET_CONTEXT_LATENCY_C', '0x6207C', '')
('TRANS_SET_CONTEXT_LATENCY_D', '0x6307C', '')
('TRANS_SET_CONTEXT_LATENCY_CMTG', '0x6F07C', '')
('TRANS_DP2_CTL_A', '0x600A0', '')
('TRANS_DP2_CTL_B', '0x610A0', '')
